id;category;subcategories;creationdate;contactagreement;status;forwardtoreponseconso;tags;signalement_transmis;signalement_lu;signalement_reponse;dep_name;dep_code;reg_code;reg_name
a5c15bcb-5f9b-4a4f-80c8-a9aac7db2b14;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-02;1;PromesseAction;0;Internet,Litige contractuel;1;1;1;Val-de-Marne;94;11;Île-de-France
2aa05502-9082-42b4-9c80-c89eadf180de;AchatMagasinInternet;un magasin / commerce physique,Un problème avec un produit en particulier,C'est un aliment ou une boisson,Problème avec l'emballage ou l'étiquette,Informations trompeuses ou fausses;2020-12-28;1;PromesseAction;0;;1;1;1;Paris;75;11;Île-de-France
d8f40240-02b4-493d-9ee7-906ff6fb52f6;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2024-01-02;1;NA;0;Internet,Litige contractuel;0;0;0;;;;
688a1087-d89b-43d5-b7d4-1afd7863746f;VoyageLoisirs;Agence de voyage,Annulation / remboursement,Oui;2021-10-11;1;NonConsulte;0;Litige contractuel,Internet;1;0;0;Bouches-du-Rhône;13;93;Provence-Alpes-Côte d'Azur
d62e8a64-975f-40e0-a04e-26e72b6680db;Immobilier;Syndic de copropriété,Absence de réponse du syndic;2023-07-29;1;Infonde;0;Litige contractuel;1;1;1;Rhône;69;84;Auvergne-Rhône-Alpes
5b0e2bd8-10fc-464c-9976-a3412d2a6aec;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-28;1;NA;0;Internet,Litige contractuel;0;0;0;;;;
9c80dfc9-cda9-405d-a5ab-7d5d4e010df3;AchatInternet;Un produit,C'est un objet,Impossible de renvoyer un produit et de me faire rembourser,Il présente un défaut ou il ne marche plus,Neuf,Il y a moins de 2 ans;2023-08-31;1;Infonde;0;Produit industriel,Internet,Litige contractuel;1;1;1;Val-de-Marne;94;11;Île-de-France
80b77a7a-75af-4181-b18e-91ff9f629bc9;AchatInternet;Une commande effectuée,Le service après-vente ne me répond plus (SAV);2023-08-21;1;NA;0;Internet,Litige contractuel;0;0;0;Bouches-du-Rhône;13;93;Provence-Alpes-Côte d'Azur
e874e6cf-f00f-4be4-8847-5fc5c2fff41e;CafeRestaurant;Hygiène,Problème de température;2023-09-03;0;PromesseAction;0;hygiène;1;1;1;Pas-de-Calais;62;32;Hauts-de-France
2aa557c8-7baa-47b0-a1ae-1d51d7e4e0a8;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Prix,Le prix à la caisse est différent du prix affiché;2023-07-28;0;Infonde;0;;1;1;1;Seine-et-Marne;77;11;Île-de-France
0a3c53ac-d498-4d4a-a332-95e55968fc73;IntoxicationAlimentaire;Oui,Un produit précis;2023-09-01;1;Infonde;0;Produit alimentaire,Produit dangereux,Litige contractuel;1;1;1;Oise;60;32;Hauts-de-France
58dd8d87-e7c5-469b-acb0-d5e97aeb998e;VoitureVehiculeVelo;Réparation, révision, vente de véhicule,Prestation mal réalisée ou pas réalisée;2023-08-21;1;NonConsulte;0;Litige contractuel;1;0;0;Gironde;33;75;Nouvelle-Aquitaine
3bf10070-d13b-4f0c-8567-af845d219b21;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2024-01-02;0;NA;0;Démarchage téléphonique;0;0;0;Haute-Savoie;74;84;Auvergne-Rhône-Alpes
85fa2a0d-9fa7-4a93-8704-cca02a9ccf5a;AchatInternet;Le site internet en lui-même,Autre;2023-08-28;1;NA;0;Internet,Litige contractuel;0;0;0;Paris;75;11;Île-de-France
bf9e3f56-8390-44d5-9344-bd165efcb439;ServicesAuxParticuliers;Vie quotidienne,Autre;2023-09-01;1;NonConsulte;0;Internet,Litige contractuel;1;0;0;Paris;75;11;Île-de-France
10963f28-f7fa-4502-a972-f0c483cc01c9;TelephonieFaiMedias;Téléphonie / internet,Résiliation / changement d'opérateur,Frais de résiliation;2023-08-19;1;PromesseAction;0;Litige contractuel;1;1;1;Paris;75;11;Île-de-France
6924c955-16e2-4493-a532-19b9e316a642;AchatMagasin;Un problème avec un produit en particulier,C'est un aliment ou une boisson,Problème de quantité,Autre;2024-01-02;0;NA;1;Produit alimentaire,ReponseConso;0;0;0;Val-d'Oise;95;11;Île-de-France
8046f62e-a27f-42d7-b301-be03908cd63d;AchatInternet;Une commande effectuée,Le service après-vente ne me répond plus (SAV);2023-08-29;1;MalAttribue;0;Internet,Litige contractuel;1;1;1;Gironde;33;75;Nouvelle-Aquitaine
742e89da-3dba-46be-aaac-ecbee5f63b8d;TelephonieFaiMedias;Abonnement télévision,Démarchage à domicile;2023-09-01;1;NonConsulte;0;Démarchage à domicile,Litige contractuel;1;0;0;Dordogne;24;75;Nouvelle-Aquitaine
89715a7a-42b6-4d12-8579-e1daaee7231f;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Autre,Autre;2023-09-03;0;NonConsulte;0;;1;0;0;Alpes-Maritimes;06;93;Provence-Alpes-Côte d'Azur
50014b4c-95e2-417b-b926-3edbdff339d3;AchatMagasin;Un magasin physique,Un produit dangereux,Cosmétique, produit d'hygiène, produit de tatouage,Autre;2023-08-21;1;PromesseAction;0;Produit dangereux,Produit industriel,Litige contractuel;1;1;1;Essonne;91;11;Île-de-France
dd2ab327-2de9-4477-a6b8-8b897a31c0d3;AchatInternet;Une commande effectuée,Le service après-vente ne me répond plus (SAV);2023-08-03;1;NonConsulte;0;Internet,Litige contractuel;1;0;0;Loire-Atlantique;44;52;Pays de la Loire
96132ca3-1831-4272-9b10-b80975f7afac;VoyageLoisirs;Sport,Contrat et abonnement,Contrat non respecté;2023-07-04;1;PromesseAction;0;Litige contractuel;1;1;1;Bouches-du-Rhône;13;93;Provence-Alpes-Côte d'Azur
5b3b1cdc-26ab-4f34-a64e-11bbf4e8d2b3;AchatInternet;Une commande effectuée,Le service après-vente ne me répond plus (SAV);2023-08-18;1;PromesseAction;0;Internet,Litige contractuel;1;1;1;Val-de-Marne;94;11;Île-de-France
a2551336-2c5f-4035-8d3e-6ddc769d66f1;AchatMagasin;Un magasin physique,Un problème avec un produit en particulier,C'est un objet,Garantie et remboursement,Il présente un défaut ou il ne marche plus,Neuf,Il y a moins de 2 ans;2023-08-03;1;NonConsulte;0;Produit industriel,Litige contractuel;1;0;0;Bas-Rhin;67;44;Grand Est
e5472777-5a70-4411-bb4c-f1e1c73789ac;TelephonieFaiMedias;Abonnement presse,Autre;2024-01-02;0;TraitementEnCours;0;Internet;1;0;0;Paris;75;11;Île-de-France
